,target,ert,fid,dim,algorithm
38,-5.6000000000000005,131.93333333333334,5,10,Powell
39,-5.800000000000001,131.93333333333334,5,10,Powell
40,-6.0,131.93333333333334,5,10,Powell
41,-6.200000000000001,131.93333333333334,5,10,Powell
42,-6.4,131.93333333333334,5,10,Powell
43,-6.6,131.93333333333334,5,10,Powell
44,-6.800000000000001,131.93333333333334,5,10,Powell
45,-7.0,131.93333333333334,5,10,Powell
46,-7.200000000000001,131.93333333333334,5,10,Powell
47,-7.4,131.93333333333334,5,10,Powell
48,-7.600000000000001,131.93333333333334,5,10,Powell
49,-7.800000000000001,131.93333333333334,5,10,Powell
50,-8.0,131.93333333333334,5,10,Powell
0,2.0,13.0,5,10,SLSQP
1,1.8,13.0,5,10,SLSQP
2,1.6,13.0,5,10,SLSQP
3,1.4,24.0,5,10,SLSQP
4,1.2,24.0,5,10,SLSQP
5,1.0,24.0,5,10,SLSQP
6,0.7999999999999998,35.0,5,10,SLSQP
7,0.5999999999999999,35.0,5,10,SLSQP
8,0.3999999999999999,35.0,5,10,SLSQP
9,0.19999999999999998,46.0,5,10,SLSQP
10,0.0,46.0,5,10,SLSQP
11,-0.20000000000000015,46.0,5,10,SLSQP
12,-0.40000000000000036,46.0,5,10,SLSQP
13,-0.6000000000000001,46.0,5,10,SLSQP
14,-0.8000000000000003,46.0,5,10,SLSQP
15,-1.0,46.0,5,10,SLSQP
16,-1.2000000000000002,46.0,5,10,SLSQP
17,-1.4000000000000004,46.0,5,10,SLSQP
18,-1.6,46.0,5,10,SLSQP
19,-1.8000000000000003,46.0,5,10,SLSQP
20,-2.0,46.0,5,10,SLSQP
21,-2.2,46.0,5,10,SLSQP
22,-2.4000000000000004,46.0,5,10,SLSQP
23,-2.6000000000000005,46.0,5,10,SLSQP
24,-2.8000000000000007,46.0,5,10,SLSQP
25,-3.0,46.0,5,10,SLSQP
26,-3.2,46.0,5,10,SLSQP
27,-3.4000000000000004,46.0,5,10,SLSQP
28,-3.6000000000000005,46.0,5,10,SLSQP
29,-3.8000000000000007,46.0,5,10,SLSQP
30,-4.0,46.0,5,10,SLSQP
31,-4.2,46.0,5,10,SLSQP
32,-4.4,46.0,5,10,SLSQP
33,-4.6000000000000005,46.0,5,10,SLSQP
