algorithm,expected_evals,dim
default,47.64061526434745,3
default,47.524934326403894,3
default,47.41006449376619,3
default,47.29597806026122,3
default,47.182649010106196,3
default,47.07005288576847,3
default,46.95816666786118,3
default,46.84696866586846,3
default,46.73643841862213,3
default,46.62655660356648,3
default,46.517304953948425,3
default,46.408666183161465,3
default,46.3006239155521,3
default,46.193162623068815,3
default,46.086267567198604,3
default,45.97992474569183,3
default,45.87412084362828,3
default,45.7688431884217,3
default,45.66407970840151,3
default,45.55981889464604,3
default,45.45604976577437,3
default,45.35276183543258,3
default,45.24994508223655,3
default,45.147589921956104,3
default,45.04568718174674,3
default,44.94422807625324,3
default,44.84320418542655,3
default,44.74260743391038,3
default,44.642430071866976,3
default,44.54266465712435,3
default,44.44330403853751,3
default,44.34434134046632,3
default,44.24576994828162,3
default,44.14758349481877,3
default,44.04977584770515,3
default,43.952341097495115,3
default,43.85527354655065,3
default,43.75856769861228,3
default,43.66221824900932,3
default,43.566220075462276,3
default,43.47056822943517,3
default,43.37525792799804,3
default,43.28028454616404,3
default,43.18564360966779,3
default,43.09133078815458,3
default,42.99734188875269,3
default,42.903672850002714,3
default,42.810319736120285,3
default,42.7172787315704,3
default,42.624546135932796,3
default,42.532118359039885,3
default,42.43999191636982,3
default,42.34816342467871,3
default,42.25662959785705,3
default,42.1653872429966,3
default,42.07443325665499,3
default,41.98376462130598,3
default,41.89337840196449,3
default,41.80327174297602,3
default,41.71344186496091,3
default,41.62388606190437,3
default,41.534601698384336,3
default,41.44558620692872,3
default,41.35683708549557,3
default,41.26835189506866,3
default,41.18012825736261,3
default,41.09216385263139,3
default,41.004456417574644,3
default,40.91700374333674,3
default,40.82980367359356,3
default,40.742854102722355,3
default,40.65615297405053,3
default,40.56969827817924,3
default,40.48348805137795,3
default,40.39752037404628,3
default,40.31179336924015,3
default,40.22630520125849,3
default,40.14105407428803,3
default,40.056038231103,3
default,39.97125595181731,3
default,39.886705552686536,3
default,39.8023853849574,3
default,39.71829383376264,3
default,39.63442931705883,3
default,39.55079028460554,3
default,39.46737521698356,3
default,39.3841826246508,3
default,39.30121104703376,3
default,39.21845905165325,3
default,39.13592523328277,3
default,39.05360821313798,3
default,38.97150663809614,3
default,38.88961917994391,3
default,38.807944534652556,3
default,38.726481421679196,3
default,38.64522858329314,3
default,38.56418478392607,3
default,38.48334880954519,3
default,38.40271946704843,3
default,38.32229558368061,3
default,38.24207600646989,3
default,38.16205960168357,3
default,38.08224525430248,3
default,38.00263186751319,3
default,37.9232183622174,3
default,37.84400367655778,3
default,37.76498676545953,3
default,37.6861666001872,3
default,37.60754216791607,3
default,37.52911247131751,3
default,37.45087652815798,3
default,37.3728333709107,3
default,37.29498204638014,3
default,37.21732161533827,3
default,37.13985115217245,3
default,37.062569744544454,3
default,36.98547649306016,3
default,36.908570510949595,3
default,36.831850923756875,3
default,36.7553168690398,3
default,36.67896749607858,3
default,36.602801965593464,3
default,36.5268194494711,3
default,36.45101913049894,3
default,36.375400202107784,3
default,36.29996186812195,3
default,36.22470334251695,3
default,36.149623849184216,3
default,36.07472262170285,3
default,35.99999890311801,3
default,35.92545194572586,3
default,35.85108101086444,3
default,35.77688536871103,3
default,35.70286429808491,3
default,35.629017086256034,3
default,35.5553430287589,3
default,35.48184142921194,3
default,35.40851159914176,3
default,35.33535285781244,3
default,35.2623645320595,3
default,35.18954595612856,3
default,35.116896471518345,3
default,35.04441542682811,3
default,34.972102177609095,3
default,34.89995608622013,3
default,34.82797652168718,3
default,34.75616285956648,3
default,34.68451448181156,3
default,34.613030776643676,3
default,34.54171113842574,3
default,34.47055496753954,3
default,34.39956167026623,3
default,34.32873065866996,3
default,34.25806135048445,3
default,34.187553169002605,3
default,34.117205542968975,3
default,34.04701790647488,3
default,33.976989698856286,3
default,33.90712036459437,3
default,33.83740935321843,3
default,33.767856119211324,3
default,33.69846012191733,3
default,33.62922082545232,3
default,33.56013769861598,3
default,33.4912102148065,3
default,33.4224378519371,3
default,33.3538200923548,3
default,33.28535642276106,3
default,33.217046334134395,3
default,33.14888932165487,3
default,33.08088488463039,3
default,33.013032526424816,3
default,32.94533175438771,3
default,32.87778207978584,3
default,32.81038301773624,3
default,32.74313408714094,3
default,32.676034810623115,3
default,32.60908471446481,3
default,32.542283328546056,3
default,32.47563018628549,3
default,32.40912482458222,3
default,32.342766783759124,3
default,32.276555607507454,3
default,32.21049084283254,3
default,32.14457204000097,3
default,32.0787987524888,3
default,32.01317053693092,3
default,31.947686953071646,3
default,31.882347563716383,3
default,31.817151934684272,3
default,31.75209963476203,3
default,31.6871902356587,3
default,31.62242331196138,3
default,31.55779844109206,3
default,31.493315203265144,3
default,31.428973181446196,3
default,31.364771961311316,3
default,31.300711131207525,3
default,31.236790282113926,3
default,31.173009007603767,3
default,31.10936690380719,3
default,31.045863569374916,3
default,30.982498605442558,3
default,30.9192716155957,3
default,30.856182205835804,3
default,30.793229984546688,3
default,30.73041456246175,3
default,30.66773555263194,3
default,30.605192570394216,3
default,30.5427852333408,3
default,30.480513161288975,3
default,30.41837597625149,3
default,30.35637330240762,3
default,30.294504766074716,3
default,30.232769995680403,3
default,30.17116862173527,3
default,30.10970027680609,3
default,30.04836459548966,3
default,29.98716121438704,3
default,29.926089772078324,3
default,29.865149909097976,3
default,29.804341267910523,3
default,29.743663492886764,3
default,29.683116230280497,3
default,29.622699128205586,3
default,29.562411836613492,3
default,29.502254007271333,3
default,29.44222529374013,3
default,29.382325351353728,3
default,29.322553837197873,3
default,29.262910410089834,3
default,29.20339473055837,3
default,29.144006460823952,3
default,29.08474526477953,3
default,29.025610807971507,3
default,28.96660275758112,3
default,28.907720782406113,3
default,28.848964552842826,3
default,28.790333740868494,3
default,28.73182802002395,3
default,28.67344706539658,3
default,28.61519055360358,3
default,28.557058162775565,3
default,28.499049572540404,3
default,28.441164464007333,3
default,28.383402519751407,3
default,28.32576342379814,3
default,28.26824686160847,3
default,28.210852520063955,3
default,28.153580087452223,3
default,28.096429253452644,3
default,28.03939970912233,3
default,27.982491146882246,3
default,27.925703260503628,3
default,27.869035745094656,3
default,27.812488297087267,3
default,27.756060614224225,3
default,27.699752395546408,3
default,27.64356334138031,3
