problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f04-d02-t-0.8,0.164,0.032,0.354,0.032,0.574,0.09,0.004,0.608,0.016,0.06
f04-d02-t-1.0,0.128,0.028,0.288,0.024,0.492,0.084,0.004,0.608,0.016,0.058
f04-d02-t-1.2,0.116,0.028,0.246,0.024,0.402,0.062,0.004,0.608,0.016,0.056
f04-d02-t-1.4,0.106,0.028,0.224,0.022,0.35,0.058,0.004,0.608,0.016,0.056
f04-d02-t-1.6,0.1,0.028,0.212,0.022,0.332,0.046,0.004,0.608,0.016,0.056
f04-d02-t-1.8,0.092,0.028,0.184,0.022,0.302,0.046,0.004,0.608,0.016,0.056
f04-d02-t-2.0,0.082,0.028,0.18,0.02,0.29,0.044,0.004,0.608,0.016,0.056
f04-d02-t-2.2,0.074,0.028,0.176,0.02,0.276,0.04,0.004,0.608,0.016,0.056
f04-d02-t-2.4,0.074,0.028,0.168,0.02,0.268,0.038,0.004,0.606,0.016,0.056
f04-d02-t-2.6,0.072,0.028,0.16,0.02,0.264,0.038,0.004,0.606,0.016,0.056
f04-d02-t-2.8,0.07,0.028,0.158,0.02,0.264,0.038,0.004,0.606,0.016,0.056
f04-d02-t-3.0,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.606,0.016,0.056
f04-d02-t-3.2,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.606,0.016,0.056
f04-d02-t-3.4,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.606,0.016,0.056
f04-d02-t-3.6,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.016,0.056
f04-d02-t-3.8,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.016,0.056
f04-d02-t-4.0,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.016,0.056
f04-d02-t-4.2,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.016,0.056
f04-d02-t-4.4,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.016,0.056
f04-d02-t-4.6,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.016,0.056
f04-d02-t-4.8,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.016,0.056
f04-d02-t-5.0,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.016,0.056
f04-d02-t-5.2,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.012,0.056
f04-d02-t-5.4,0.07,0.028,0.154,0.02,0.256,0.038,0.004,0.604,0.012,0.056
f04-d02-t-5.6,0.07,0.028,0.154,0.02,0.256,0.038,0.002,0.604,0.012,0.056
f04-d02-t-5.8,0.07,0.028,0.154,0.02,0.256,0.038,0.002,0.6,0.012,0.056
f04-d02-t-6.0,0.07,0.028,0.154,0.02,0.256,0.038,0.002,0.598,0.008,0.056
f04-d02-t-6.2,0.07,0.028,0.154,0.02,0.256,0.038,0.002,0.59,0.008,0.056
f04-d02-t-6.4,0.07,0.028,0.154,0.02,0.256,0.038,0.002,0.582,0.006,0.056
f04-d02-t-6.6,0.07,0.028,0.154,0.02,0.256,0.038,0.002,0.578,0.004,0.056
f04-d02-t-6.8,0.07,0.028,0.154,0.02,0.256,0.038,0.002,0.562,0.004,0.056
f04-d02-t-7.0,0.07,0.028,0.154,0.02,0.256,0.038,0.0,0.532,0.002,0.056
f04-d02-t-7.2,0.07,0.028,0.154,0.02,0.256,0.038,0.0,0.496,0.002,0.056
f04-d02-t-7.4,0.07,0.028,0.154,0.02,0.256,0.038,0.0,0.464,0.002,0.056
f04-d02-t-7.6,0.07,0.028,0.154,0.02,0.256,0.038,0.0,0.452,0.002,0.056
f04-d02-t-7.8,0.07,0.028,0.154,0.02,0.256,0.038,0.0,0.444,0.0,0.056
f04-d02-t-8.0,0.07,0.028,0.154,0.02,0.256,0.038,0.0,0.412,0.0,0.056
