problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f03-d05-t-1.6,9762.824,2698.468,17988.372,4428.274,42526.844,6775.616,148.032,246.888,126.366,1824.988
f03-d05-t-1.8,9775.102,2699.46,18022.994,4429.978,42546.862,6779.564,148.032,246.888,126.366,1825.042
f03-d05-t-2.0,9785.716,2700.244,18046.972,4431.276,42559.17,6784.03,148.032,247.062,126.366,1825.38
f03-d05-t-2.2,9795.366,2701.082,18065.084,4431.996,42564.532,6790.018,148.032,247.066,126.366,1825.44
f03-d05-t-2.4,9807.288,2701.352,18084.628,4433.902,42575.1,6795.526,148.032,247.068,126.366,1825.628
f03-d05-t-2.6,9814.476,2701.922,18101.046,4435.454,42582.58,6800.462,148.032,247.072,126.366,1825.934
f03-d05-t-2.8,9823.976,2702.632,18114.536,4436.748,42591.602,6804.898,148.032,247.072,126.366,1826.054
f03-d05-t-3.0,9833.24,2703.398,18132.722,4437.848,42601.168,6806.9,148.032,247.072,126.366,1826.278
f03-d05-t-3.2,9840.74,2703.84,18153.174,4439.15,42608.998,6812.728,148.032,247.072,126.366,1826.542
f03-d05-t-3.4,9851.886,2705.294,18167.434,4440.634,42614.07,6816.454,148.032,247.072,126.366,1826.604
f03-d05-t-3.6,9860.794,2705.614,18183.406,4442.086,42619.936,6820.786,148.032,247.072,126.366,1826.82
f03-d05-t-3.8,9867.5,2706.186,18195.814,4443.5,42629.922,6823.582,148.032,247.072,126.366,1826.994
f03-d05-t-4.0,9877.838,2707.024,18213.914,4444.65,42637.364,6827.848,148.032,247.072,126.366,1827.04
f03-d05-t-4.2,9886.368,2707.576,18226.336,4445.618,42642.396,6834.0,148.032,247.072,126.366,1827.372
f03-d05-t-4.4,9894.532,2708.86,18241.57,4447.064,42650.868,6838.426,148.032,247.072,126.366,1827.43
f03-d05-t-4.6,9903.744,2709.558,18260.022,4448.736,42657.376,6843.216,148.032,247.072,126.366,1827.686
f03-d05-t-4.8,9911.636,2710.18,18271.494,4450.264,42665.66,6847.342,148.032,247.072,126.366,1827.872
f03-d05-t-5.0,9919.598,2710.978,18288.662,4451.762,42674.262,6851.768,148.032,247.074,126.366,1828.144
f03-d05-t-5.2,9927.982,2711.34,18300.91,4453.16,42679.272,6856.104,148.032,247.074,126.366,1828.176
